Autor_x,Autor_y,Trabalhos_Juntos
CHRISTIAN MATHIS,THEO HAERDER,2
ALBERT WEICHSELBRAUN,ARNO SCHARL,2
DANIEL DE OLIVEIRA,KARY A. C. S. OCAÑA,2
EDUARDO CUNHA DE ALMEIDA,EDUARDO HENRIQUE MONTEIRO PENA,2
DANIEL DE OLIVEIRA,LILIANE KUNSTMANN,2
DAVID B. FERNANDES,MARCO A. CRISTO,2
ALBERTO H. F. LAENDER,ANDERSON A. FERREIRA,2
DANIEL A. FURTADO,DOMINIQUE LAURENT,2
ALBERTO H. F. LAENDER,CELSO FRANÇA,2
DANIEL A. FURTADO,SANDRA DE AMO,2
DÉBORA PINA,LILIANE KUNSTMANN,2
ANGELO BRAYNER,JAVAM C. MACHADO,2
ANGELO BRAYNER,JOSÉ ANTÔNIO FERNANDES DE MACEDO,2
CAROLINA R. XAVIER,LUCAS GABRIEL DA S. FELIX,2
ALBERTO H. F. LAENDER,FABIANO MUNIZ BELÉM,2
ALBERTO H. F. LAENDER,GABRIEL JALLAIS,2
BÁRBARA M. A. MENDES,CLARA A. BACHA,2
ANGELO BRAYNER,JÚLIO A. TAVARES,2
ANGELO BRAYNER,MANOEL SIQUEIRA,2
ANGELO BRAYNER,PEDRO HOLANDA,2
ALBERTO H. F. LAENDER,MARCELO GANEM,2
ALBERTO H. F. LAENDER,MARCOS CARVALHO,2
BÁRBARA M. A. MENDES,GABRIEL P. OLIVEIRA,2
CAROLINA R. XAVIER,VINICIUS DA F. VIEIRA,2
BÁRBARA M. A. MENDES,LARISSA D. GOMIDE,2
BÁRBARA M. A. MENDES,LUCAS L. COSTA,2
BÁRBARA M. A. MENDES,MARIANA O. SILVA,2
BÁRBARA M. A. MENDES,MICHELE A. BRANDÃO,2
DANIEL DE OLIVEIRA,LÚCIO F. D. SANTOS,2
CLARA A. BACHA,GABRIEL P. OLIVEIRA,2
CAETANO TRAINA JÚNIOR,CHRISTOS FALOUTSOS,2
ANISIO LACERDA,GABRIEL P. OLIVEIRA,2
ANISIO LACERDA,GISELE LOBO PAPPA,2
ANA CAROLINA SALGADO,CARLOS EDUARDO S. PIRES,2
ANA CAROLINA SALGADO,DAMIRES SOUZA,2
BIANCA ZADROZNY,MARIANA TASCA,2
CAETANO TRAINA JÚNIOR,DANIEL DE OLIVEIRA,2
BIANCA ZADROZNY,RAFAEL B. PEREIRA,2
ANISIO LACERDA,MARIANA O. SILVA,2
ANISIO LACERDA,MICHELE A. BRANDÃO,2
ANA CAROLINA SALGADO,FERNANDO DA FONSECA DE SOUZA,2
ANA CAROLINA SALGADO,JOEL DA SILVA,2
ANISIO LACERDA,NIVIO ZIVIANI,2
CLARA A. BACHA,LARISSA D. GOMIDE,2
ALEXANDRE A. B. LIMA,PATRICK VALDURIEZ,2
CARLOS MAGNO G. BARBOSA,LUCAS GABRIEL DA S. FELIX,2
CLARA A. BACHA,LUCAS L. COSTA,2
ALEX A. FREITAS,BRUNO C. PAES,2
CAETANO TRAINA JÚNIOR,FABIO J. T. CHINO,2
CLARA A. BACHA,MARIANA O. SILVA,2
ANA CAROLINA SALGADO,ROBSON  DO NASCIMENTO FIDALGO,2
CLARA A. BACHA,MICHELE A. BRANDÃO,2
CRISTINA DUTRA DE AGUIAR CIFERRI,ROBSON LEONARDO FERREIRA CORDEIRO,2
ANA CAROLINA SALGADO,VALÉRIA CESÁRIO TIMES,2
CRISTINA DUTRA DE AGUIAR CIFERRI,RODRIGO COSTA MATEUS,2
CARLOS MAGNO G. BARBOSA,CAROLINA R. XAVIER,2
BIANCA ZADROZNY,LUIZ HENRIQUE DE CAMPOS MERSCHMANN,2
EDUARDO OGASAWARA,JONAS DIAS,2
EDUARDO OGASAWARA,MARTA MATTOSO,2
EDUARDO R. DUARTE NETO,JAVAM C. MACHADO,2
EDWARD HERMANN HAEUSLER,SÉRGIO LIFSCHITZ,2
ELAINE PARROS MACHADO DE SOUSA,JOSÉ FERNANDO RODRIGUES JUNIOR,2
CARLOS MAGNO G. BARBOSA,VINICIUS DA F. VIEIRA,2
ELAINE PARROS MACHADO DE SOUSA,SANTIAGO AUGUSTO NUNES,2
FABIANO MUNIZ BELÉM,GABRIEL JALLAIS,2
FABIANO MUNIZ BELÉM,MARCELO GANEM,2
FABIANO MUNIZ BELÉM,MARCOS CARVALHO,2
FABIO J. T. CHINO,MARCOS R. VIEIRA,2
FABRÍCIO BENEVENUTO,JUSSARA MARQUES ALMEIDA,2
FABRÍCIO BENEVENUTO,MARCOS ANDRÉ GONÇALVES,2
FERNANDA BAIÃO,MARTA MATTOSO,2
FERNANDO DA FONSECA DE SOUZA,JOEL DA SILVA,2
FERNANDO DA FONSECA DE SOUZA,ROBSON  DO NASCIMENTO FIDALGO,2
FERNANDO DA FONSECA DE SOUZA,VALÉRIA CESÁRIO TIMES,2
FERNANDO MOURÃO,LEONARDO ROCHA,2
FLÁVIO R. C. SOUSA,JAVAM C. MACHADO,2
GABRIEL JALLAIS,MARCELO GANEM,2
GABRIEL JALLAIS,MARCOS CARVALHO,2
GABRIEL P. OLIVEIRA,LARISSA D. GOMIDE,2
GABRIEL P. OLIVEIRA,LUCAS L. COSTA,2
DANIEL DE OLIVEIRA,MAICON BANNI,2
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,LUÍS P. F. GARCIA,2
GABRIEL P. OLIVEIRA,MIRELLA M. MORO,2
ALEXANDRE F. NOVELLO,MARCO ANTONIO CASANOVA,2
GISELE LOBO PAPPA,THIAGO SALLES,2
GISELE LOBO PAPPA,WAGNER MEIRA JR.,2
GUILHERME ALVES,SANDRA DE AMO,2
HUI MA,KLAUS-DIETER SCHEWE,2
ISABEL ROSSETI,MAICON BANNI,2
JAQUELINE A. J. PAPINI,SANDRA DE AMO,2
CAETANO TRAINA JÚNIOR,JOSÉ FERNANDO RODRIGUES JUNIOR,2
JAVAM C. MACHADO,LEONARDO O. MOREIRA,2
JAVAM C. MACHADO,MANOEL SIQUEIRA,2
