Autor_x,Autor_y,Trabalhos_Juntos
CAETANO TRAINA JÚNIOR,SAFIA BRINIS,1
CAETANO TRAINA JÚNIOR,SANTIAGO AUGUSTO NUNES,1
CAETANO TRAINA JÚNIOR,THATYANA F. P. SERAPHIM,1
CAETANO TRAINA JÚNIOR,WILLIAM ZANIBONI SILVA,1
CAIO B. NÓBREGA,CLÁUDIO DE SOUZA BAPTISTA,1
CAIO B. NÓBREGA,IURY NUNES,1
CAIO B. NÓBREGA,JORDÃO ARAÚJO,1
CAIO B. NÓBREGA,THOMAS SANDHOLM,1
CAIO EDUARDO RIBEIRO,LUIS ENRIQUE ZÁRATE,1
CAIO LIBÂNIO MELO JERÔNIMO,CLÁUDIO DE SOUZA BAPTISTA,1
CAIO LIBÂNIO MELO JERÔNIMO,CLÁUDIO E. C. CAMPELO,1
CAIO MOURA DAOUD,EDLENO SILVA DE MOURA,1
CAIO MOURA DAOUD,LÍDIA LIZZIANE SEREJO DE CARVALHO,1
CAIO PONTE,CARLOS CAMINHA,1
CAIO PONTE,JOÃO DAVID FREITAS,1
CAIO PONTE,RAFAEL BOMFIM,1
CAIO VIKTOR S. AVILA,TULIO VIDAL ROLIM,1
CAIO VIKTOR S. AVILA,VALÉRIA M. PEQUENO,1
CAIO VIKTOR S. AVILA,VANIA MARIA P. VIDAL,1
CAIO VIKTOR S. AVILA,WELLINGTON FRANCO,1
CAIO ZAVA FERREIRA,JAMILE SANTOS DOS SANTOS,1
CAIO ZAVA FERREIRA,JONICE DE OLIVEIRA SAMPAIO,1
CAIO ZAVA FERREIRA,JORGE ZAVALETA,1
CAIO ZAVA FERREIRA,MARCUS VINICIUS FERREIRA GONÇALVES,1
CAIO ZAVA FERREIRA,SÉRGIO MANUEL  SERRA DA CRUZ,1
CALTON PU,JOÃO EDUARDO FERREIRA,1
CALTON PU,KELLY R. BRAGHETTO,1
CALTON PU,MARCELA O. GARCIA,1
CAMILA FERRARI,DANIEL DE OLIVEIRA,1
CAMILA FERRARI,ISABEL ROSSETI,1
CAMILA FERRARI,JOÃO VITOR MORAES,1
CAMILA R. LOPES,DANIEL DE OLIVEIRA,1
CAMILA R. LOPES,DANIEL L. JASBICK,1
CAMILA R. LOPES,LÚCIO F. D. SANTOS,1
CAMILA R. LOPES,MARCOS VINICIUS NAVES BEDO,1
CARINA F. DORNELES,EDIMAR MANICA,1
CARINA F. DORNELES,GILNEY N. MATHIAS,1
CARINA F. DORNELES,RENATA GALANTE,1
CARINA F. DORNELES,RENATO FILETO,1
CARINA F. DORNELES,ROBERTO PANERAI VELLOSO,1
CARINA F. DORNELES,RONALDO DOS SANTOS MELLO,1
CARINA F. DORNELES,VANIA BOGORNY,1
CARLA DELGADO,DIEGO DE SOUZA LIMA,1
CARLA DELGADO,LEONARDO MURTA,1
CARLA DELGADO,VANESSA BRAGANHOLO,1
CARLA RODRIGUES,MARTA MATTOSO,1
CARLA RODRIGUES,VANESSA BRAGANHOLO,1
CARLOS A. F. PIMENTEL FILHO,CELSO A. SAIBEL SANTOS,1
CARLOS A. FELGUEIRAS,EDUARDO C. G. CAMARGO,1
CARLOS A. FELGUEIRAS,JUSSARA O. ORTIZ,1
CARLOS A. FELGUEIRAS,LAÉRCIO M. NAMIKAWA,1
CARLOS A. FELGUEIRAS,THALES S. KÖRTING,1
CARLOS A. HEUSER,FELIPE HOPPE LEVIN,1
CARLOS A. NORONHA,DENIS TAVEIRA,1
CARLOS A. NORONHA,GABRIEL SANSIGOLO,1
CARLOS A. NORONHA,GILBERTO R. DE QUEIROZ,1
CARLOS A. NORONHA,KARINE R. FERREIRA,1
CARLOS A. NORONHA,LUIS FERLA,1
CARLOS A. NORONHA,NANDAMUDI L. VIJAYKUMAR,1
CARLOS A. NORONHA,RODRIGO M. MARIANO,1
CARLOS ABEL CÓRDOVA SÁENZ,JEFERSON NOBRE,1
CARLOS ABEL CÓRDOVA SÁENZ,MARCELO DIAS,1
CARLOS ABEL CÓRDOVA SÁENZ,RÉGIS EBELING,1
CARLOS ALESSANDRO SENA,EDLENO SILVA DE MOURA,1
CARLOS ALESSANDRO SENA,KLESSIUS BERLT,1
CARLOS ALESSANDRO SENA,MARCELA PESSOA,1
CARLOS ALESSANDRO SENA,MARCO A. CRISTO,1
CARLOS ALESSANDRO SENA,MAURO HERRERA,1
CARLOS ANDRES FERRERO,MARCO AURELIO BEBER,1
CARLOS ANDRES FERRERO,RENATO FILETO,1
CARLOS ANDRES FERRERO,VANIA BOGORNY,1
CARLOS CAMINHA,JOÃO DAVID FREITAS,1
CARLOS CAMINHA,RAFAEL BOMFIM,1
CARLOS CAMINHA,VASCO FURTADO,1
CARLOS EDUARDO M. MOREIRA,VIVIANE PEREIRA MOREIRA,1
CARLOS EDUARDO PAULINO,DANIEL DE OLIVEIRA,1
CARLOS EDUARDO PAULINO,MARIA LUIZA MACHADO CAMPOS,1
CARLOS EDUARDO PAULINO,MARTA MATTOSO,1
CARLOS EDUARDO PAULINO,SÉRGIO MANUEL  SERRA DA CRUZ,1
CARLOS EDUARDO S. PIRES,DAMIRES SOUZA,1
CARLOS EDUARDO S. PIRES,DEMETRIO GOMES MESTRE,1
CARLOS EDUARDO S. PIRES,DIMAS CASSIMIRO NASCIMENTO,1
CARLOS EDUARDO S. PIRES,JOAQUÍN PÉREZ,1
CARLOS EDUARDO S. PIRES,LEANDRO BALBY,1
CARLOS EDUARDO S. PIRES,MARIA DA CONCEIÇÃO M. BATISTA,1
CARLOS EDUARDO S. PIRES,MIGUEL ÁNGEL HIDALGO,1
CARLOS EDUARDO S. PIRES,PAULO ORLANDO QUEIROZ-SOUSA,1
CARLOS EDUARDO S. PIRES,ROSALIE B. BELIAN,1
CARLOS EDUARDO S. PIRES,THIAGO PEREIRA DA NOBREGA,1
CARLOS EDUARDO S. PIRES,TIAGO BRASILEIRO ARAÚJO,1
CARLOS H. C. TEIXEIRA,WAGNER MEIRA JR.,1
CARLOS HENRIQUE CÂNDIDO,MILTON BITTENCOURT S. NETO,1
CARLOS HENRIQUE CÂNDIDO,RONALDO DOS SANTOS MELLO,1
CARLOS JULIANO M. VIANA,JAVAM C. MACHADO,1
CARLOS JULIANO M. VIANA,JOSÉ MARIA MONTEIRO,1
CARLOS JULIANO M. VIANA,RENATO JAVIER M. MOGROVEJO,1
CARLOS JULIANO M. VIANA,SÉRGIO LIFSCHITZ,1
CARLOS MAGNO G. BARBOSA,VITOR E. DO CARMO,1
CARLOS S. S. MARINHO,EMANUEL F. COUTINHO,1
CARLOS S. S. MARINHO,FLÁVIO R. C. SOUSA,1
CARLOS S. S. MARINHO,JAVAM C. MACHADO,1
CARLOS S. S. MARINHO,JOSÉ S. COSTA FILHO,1
CARLOS S. S. MARINHO,LEONARDO O. MOREIRA,1
CARLOS VINICIUS ALVES MINERVINO PONTES,CLÁUDIO E. C. CAMPELO,1
CARLOS VINICIUS ALVES MINERVINO PONTES,MAXWELL GUIMARÃES DE OLIVEIRA,1
CARLOS VINICIUS ALVES MINERVINO PONTES,SALATIEL DANTAS SILVA,1
CARLYLE RIBEIRO LIMA,FRANKLIN SOUZA DA SILVA,1
CARLYLE RIBEIRO LIMA,GILBERTO FERREIRA DA SILVA,1
CARLYLE RIBEIRO LIMA,MILENA MAGALHÃES,1
CARLYLE RIBEIRO LIMA,NICOLAS CARELS,1
CARMELO J. A. BASTOS-FILHO,JAILSON O. L. MAGALHAES,1
CARMELO J. A. BASTOS-FILHO,KLEBER D. M. SILVA,1
CARMELO J. A. BASTOS-FILHO,LUIZ F. V. VERCOSA,1
CARMELO J. A. BASTOS-FILHO,RODRIGO C. LIRA,1
CARMELO J. A. BASTOS-FILHO,RODRIGO P. MONTEIRO,1
CARMEM S. HARA,DAVI ARNAUT,1
CARMEM S. HARA,EDUARDO A. RIBAS,1
CARMEM S. HARA,FLÁVIO R. C. SOUSA,1
CARMEM S. HARA,NUNO M. F. GONÇALVES,1
CARMEM S. HARA,PATRICK A. BUNGAMA,1
CARMEM S. HARA,RONEY UBA,1
CARMEM S. HARA,WENDEL M. DE OLIVEIRA,1
CAROLINA C. ROSA,CLEISON D. SILVA,1
CAROLINA C. ROSA,EDUARDO C. CARVALHO,1
CAROLINA C. ROSA,RAFAEL L. ROCHA,1
CAROLINA C. ROSA,RENATO C. FERREIRA,1
CAROLINA CORRÊA GIRON,CATHERINE ETCHEBEST,1
CAROLINA CORRÊA GIRON,ERIK E. SANTISO,1
CAROLINA CORRÊA GIRON,FERNANDO L. BARROSO DA SILVA,1
CAROLINA CORRÊA GIRON,ILYAS GRANDGUILLAUME,1
CAROLINA CORRÊA GIRON,RAUNI BORGES MARQUES,1
CAROLINA CORRÊA GIRON,SERGIO A. POVEDA-CUEVAS,1
CAROLINA O. P. GIL,DHARA AVELINO-ALVES,1
CAROLINA O. P. GIL,FERNANDA O. F. SCHMIDT,1
CAROLINA O. P. GIL,FLÁVIO F. NOBRE,1
CAROLINA O. P. GIL,NATHÁLIA S. C. SANTOS,1
CAROLINA O. P. GIL,ODARA A. OLIVEIRA,1
CAROLINA O. P. GIL,PRISCILA C. ALVES,1
CAROLINA R. XAVIER,VITOR E. DO CARMO,1
CATHERINE ETCHEBEST,ERIK E. SANTISO,1
CATHERINE ETCHEBEST,FERNANDO L. BARROSO DA SILVA,1
CATHERINE ETCHEBEST,ILYAS GRANDGUILLAUME,1
CATHERINE ETCHEBEST,RAUNI BORGES MARQUES,1
CATHERINE ETCHEBEST,SERGIO A. POVEDA-CUEVAS,1
CELIO TROIS,LUIS CARLOS ERPEN DE BONA,1
CELIO TROIS,MARCOS DIDONET DEL FABRO,1
CELIO TROIS,MARIA HELENA FRANCISCATTO,1
CELSO A. SAIBEL SANTOS,MARCELLO N. DE AMORIM,1
CELSO A. SAIBEL SANTOS,RICARDO M. C. SEGUNDO,1
CELSO FRANÇA,CLAUDIO M. V. DE ANDRADE,1
CELSO FRANÇA,CLÁUDIO VALIENSE,1
CELSO FRANÇA,GABRIEL TEXEIRA,1
CELSO FRANÇA,JOÃO VÍTOR B. SILVA,1
CELSO FRANÇA,KATTIANA CONSTANTINO,1
CELSO FRANÇA,MARCELO TEIXEIRA,1
CELSO FRANÇA,OTÁVIO M. M. ZUCHERATTO,1
CELSO FRANÇA,THIAGO H. P. SILVA,1
CELSO FRANÇA,VICTOR AUGUSTO L. CRUZ,1
CELSO FRANÇA,WELTON SANTOS,1
CELSO MASSAKI HIRATA,JOUBERT DE CASTRO LIMA,1
CELSO MASSAKI HIRATA,RODRIGO ROCHA SILVA,1
CELSO RIBEIRO,MARIANA TASCA,1
CHAULIO R. FERREIRA,GUILHERME C. PENA,1
CHAULIO R. FERREIRA,MARCUS VINÍCIUS ALVIM ANDRADE,1
CHAULIO R. FERREIRA,SALLES V. G. MAGALHÃES,1
CHAULIO R. FERREIRA,W. R. FRANKLIN,1
CHIARA RENSO,LUCAS VANINI,1
CHIARA RENSO,RENATO FILETO,1
CHIARA RENSO,RONALDO DOS SANTOS MELLO,1
CHIARA RENSO,TARLIS TORTELLI PORTELA,1
CHIARA RENSO,VANESSA LAGO MACHADO,1
CHRISTIAN C. BONES,ELAINE PARROS MACHADO DE SOUSA,1
CHRISTIAN C. BONES,LUCIANA A. S. ROMANI,1
CHRISTIAN MATHIS,MARKUS WAGNER,1
CHRISTIAN MATHIS,MICHAEL P. HAUSTEIN,1
CHRISTIAN MIDDLETON,HUMBERTO M. ALMEIDA,1
CHRISTIAN MIDDLETON,MARCOS ANDRÉ GONÇALVES,1
CHRISTIAN MIDDLETON,OTÁVIO D. A. ALCÂNTARA,1
CHRISTIAN MIDDLETON,RICARDO BAEZA-YATES,1
CHRISTIAN SCHMITZ,EDIMAR MANICA,1
CHRISTIAN SCHMITZ,JONATHAN MARTINS,1
CHRISTIAN SCHMITZ,RENATA GALANTE,1
CHRISTIAN SCHMITZ,SERIGNE K. MBAYE,1
CHRISTOS FALOUTSOS,LEEJAY WU,1
CLARA A. BACHA,HENRIQUE HOTT,1
CLARISSE SCOFIELD,LUIZA DE MELO-GOMES,1
CLARISSE SCOFIELD,MARIANA O. SILVA,1
CLARISSE SCOFIELD,MIRELLA M. MORO,1
CLAUDIA BAUZER MEDEIROS,EDMUNDO R. M. MADEIRA,1
CLAUDIA BAUZER MEDEIROS,ELIANE MARTINS,1
CLAUDIA BAUZER MEDEIROS,GENEVIÈVE JOMIER,1
CLAUDIA BAUZER MEDEIROS,GEOVANE C. MAGALHÂES,1
CLAUDIA BAUZER MEDEIROS,JOÃO SÁVIO C. LONGO,1
CLAUDIA BAUZER MEDEIROS,JULIO CESAR DOS REIS,1
CLAUDIA BAUZER MEDEIROS,MARIA CECILIA C. BARANAUSKAS,1
CLAUDIA BAUZER MEDEIROS,MICHEL ZAM,1
CLAUDIA BAUZER MEDEIROS,NEUCIMAR A. LEITE,1
CLAUDIA BAUZER MEDEIROS,RICARDO DA S. TORRES,1
CLAUDIA BAUZER MEDEIROS,THIAGO GOTTARDI,1
CLAUDINEI GARCIA DE ANDRADE,MARCELA XAVIER RIBEIRO,1
CLAUDIO D. G. LINHARES,GABRIEL P. VEZONO,1
CLAUDIO D. G. LINHARES,JEAN R. PONCIANO,1
CLAUDIO ESPERANÇA,TARSUS MAGNUS PINHEIRO,1
CLAUDIO GUTIÉRREZ,JORGE PÉREZ,1
CLAUDIO GUTIÉRREZ,JUAN REUTTER,1
CLAUDIO GUTIÉRREZ,LORETO BRAVO,1
CLAUDIO GUTIÉRREZ,M. ANDREA RODRIGUEZ,1
CLAUDIO GUTIÉRREZ,MARCELO ARENAS,1
CLAUDIO GUTIÉRREZ,PABLO BARCELÓ,1
CLAUDIO M. V. DE ANDRADE,FABIANO MUNIZ BELÉM,1
CLAUDIO M. V. DE ANDRADE,GABRIEL JALLAIS,1
CLAUDIO M. V. DE ANDRADE,GABRIEL TEXEIRA,1
CLAUDIO M. V. DE ANDRADE,MARCELO GANEM,1
CLAUDIO M. V. DE ANDRADE,MARCOS CARVALHO,1
CLAUDIVAN CRUZ LOPES,STAN MATWIN,1
CLAUDIVAN CRUZ LOPES,VALÉRIA CESÁRIO TIMES,1
CLAUS DE C. ARANHA,ICARO M. MIRANDA,1
CLAUS DE C. ARANHA,LUÍS P. F. GARCIA,1
CLAYSON CELES,HERVÉ MARTIN,1
CLAYSON CELES,ROSSANA M. C. ANDRADE,1
CLAYSON CELES,TALES P. NOGUEIRA,1
CLEBER DAMASCENO,GRETTEL M. GARCIA,1
CLEBER DAMASCENO,LUIZ ANDRÉ P. PAES LEME,1
CLEBER DAMASCENO,MARCO ANTONIO CASANOVA,1
CLEBER DAMASCENO,MELISSA LEMOS,1
CLEBER DAMASCENO,YENIER TORRES IZQUIERDO,1
CLEISON D. SILVA,EDUARDO C. CARVALHO,1
CLEISON D. SILVA,RAFAEL L. ROCHA,1
CLEISON D. SILVA,RENATO C. FERREIRA,1
CLEISON D. SILVA,ROBSON  DO NASCIMENTO FIDALGO,1
CLODOVEU A. DAVIS,GABRIEL O. C. PACHECO,1
CLODOVEU AUGUSTO DAVIS JR.,CRISTIANO MARTINS MONTEIRO,1
CLODOVEU AUGUSTO DAVIS JR.,FERNANDA DE OLIVEIRA RAMALHO,1
CLODOVEU AUGUSTO DAVIS JR.,FLÁVIO VINÍCIUS CRUZEIRO MARTINS,1
CLODOVEU AUGUSTO DAVIS JR.,MIRELLA M. MORO,1
CLODOVEU AUGUSTO DAVIS JR.,RODRIGO SMARZARO,1
CLODOVEU AUGUSTO DAVIS JR.,SALATIEL RIBEIRO DOS SANTOS,1
CLÁUDIA T. CODEÇO,CRISTINA BENDER,1
CLÁUDIA T. CODEÇO,MARIANO SALVETTI,1
CLÁUDIA T. CODEÇO,NILDIMAR A. HONÓRIO,1
CLÁUDIA T. CODEÇO,NORA REYES,1
CLÁUDIA T. CODEÇO,RAQUEL M. LANA,1
CLÁUDIA T. CODEÇO,TIAGO GARCIA DE SENNA CARNEIRO,1
CLÁUDIO DE SOUZA BAPTISTA,FABIO G. DE ANDRADE,1
CLÁUDIO DE SOUZA BAPTISTA,IURY NUNES,1
CLÁUDIO DE SOUZA BAPTISTA,JORDÃO ARAÚJO,1
CLÁUDIO DE SOUZA BAPTISTA,JOSÉ AMILTON MOURA ACIOLI FILHO,1
CLÁUDIO DE SOUZA BAPTISTA,LEANDRO BALBY MARINHO,1
CLÁUDIO DE SOUZA BAPTISTA,THOMAS SANDHOLM,1
CLÁUDIO E. C. CAMPELO,JOSÉ AMILTON MOURA ACIOLI FILHO,1
CLÁUDIO GUSTAVO S. CAPANEMA,FABRÍCIO A. SILVA,1
CLÁUDIO GUSTAVO S. CAPANEMA,THAIS R. M. BRAGA SILVA,1
CLÁUDIO VALIENSE,FABIANO MUNIZ BELÉM,1
CLÁUDIO VALIENSE,GABRIEL JALLAIS,1
CLÁUDIO VALIENSE,MARCELO GANEM,1
CLÁUDIO VALIENSE,MARCELO TEIXEIRA,1
CLÁUDIO VALIENSE,MARCOS CARVALHO,1
CORA SILBERSCHNEIDER,CRISTIANE N. NOBRE,1
CORA SILBERSCHNEIDER,CRISTIANO L. N. PINTO,1
CORA SILBERSCHNEIDER,LUIS ENRIQUE ZÁRATE,1
CORA SILBERSCHNEIDER,MARCOS W. RODRIGUES,1
CRISTIANE GEA,FLAVIA DELICATO,1
CRISTIANE GEA,JANIO LIMA,1
CRISTIANE GEA,LAIS BARONI,1
CRISTIANE GEA,LUCIANA ESCOBAR,1
CRISTIANE GEA,PAULO PIRES,1
CRISTIANE GEA,REBECCA SALLES,1
CRISTIANE N. NOBRE,MARCOS W. RODRIGUES,1
CRISTIANE N. NOBRE,WALLISON W. GUIMARÃES,1
CRISTIANO CORDEIRO CRUZ,GIORDANNO BRUNNO BERGAMINI GOMES,1
CRISTIANO CORDEIRO CRUZ,ROMIS ATTUX,1
CRISTIANO L. N. PINTO,MARCOS W. RODRIGUES,1
CRISTIANO L. N. PINTO,WALLISON W. GUIMARÃES,1
CRISTIANO MARTINS MONTEIRO,FLÁVIO VINÍCIUS CRUZEIRO MARTINS,1
CRISTINA BENDER,MARIANO SALVETTI,1
CRISTINA BENDER,NORA REYES,1
CRISTINA D. AGUIAR,JOÃO PAULO CLARINDO,1
CRISTINA D. AGUIAR,JOÃO PEDRO DE CARVALHO CASTRO,1
CRISTINA DUTRA DE AGUIAR CIFERRI,DANIEL YOSHINOBU TAKADA CHINO,1
CRISTINA DUTRA DE AGUIAR CIFERRI,ELAINE PARROS MACHADO DE SOUSA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,FELIPE ALVES DA LOUZA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,FELIPPE PIRES FERREIRA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,GEORGE ROUMELIS,1
CRISTINA DUTRA DE AGUIAR CIFERRI,GUILHERME MUZZI DA ROCHA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,ILAN S. G. DE FIGUEIREDO,1
CRISTINA DUTRA DE AGUIAR CIFERRI,JOSÉ FERNANDO RODRIGUES JUNIOR,1
CRISTINA DUTRA DE AGUIAR CIFERRI,JOÃO OLIVEIRA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,JOÃO PEDRO DE CARVALHO CASTRO,1
CRISTINA DUTRA DE AGUIAR CIFERRI,LARISSA R. TEIXEIRA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,LUCIDIO FORMIGA CABRAL,1
CRISTINA DUTRA DE AGUIAR CIFERRI,MARIA JÚLIA SOARES DE GRANDI,1
CRISTINA DUTRA DE AGUIAR CIFERRI,MARINA TERESA PIRES VIEIRA,1
CRISTINA DUTRA DE AGUIAR CIFERRI,MICHAEL VASSILAKOPOULOS,1
CRISTINA DUTRA DE AGUIAR CIFERRI,RODRIGO DE SOUSA GOMIDE,1
CRISTINA DUTRA DE AGUIAR CIFERRI,WILLIAM ZANIBONI SILVA,1
CRISTON PEREIRA DE SOUZA,DAVI ROMERO DE VASCONCELOS,1
CRISTON PEREIRA DE SOUZA,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
CRISTON PEREIRA DE SOUZA,LÍVIA ALMADA CRUZ,1
CRISTON PEREIRA DE SOUZA,REGIS PIRES MAGALHÃES,1
CRISTON PEREIRA DE SOUZA,RONILDO OLIVEIRA DA SILVA,1
CRÍCIA Z. FELÍCIO,GUILHERME ALVES,1
CRÍCIA Z. FELÍCIO,KLÉRISSON V. R. PAIXÃO,1
CRÍCIA Z. FELÍCIO,PHILIPPE PREUX,1
CRÍCIA Z. FELÍCIO,SANDRA DE AMO,1
CYNTHIA DE OLIVEIRA LAGE FERREIRA,JORGE FRANCISCO CUTIGI,1
CYNTHIA DE OLIVEIRA LAGE FERREIRA,PAULO HENRIQUE RIBEIRO,1
CYNTHIA DE OLIVEIRA LAGE FERREIRA,RODRIGO HENRIQUE RAMOS,1
CÉLIA GHEDINI RALHA,VANESSA TAVARES NUNES,1
D. F. LIMA,D. L. CARVALHO,1
D. F. LIMA,L. B. MARINHO,1
D. L. CARVALHO,L. B. MARINHO,1
D. M. OLIVEIRA,J. A. O. PEDROSA,1
D. M. OLIVEIRA,WAGNER MEIRA JR.,1
DAMIRES SOUZA,DANIEL FIGUEIREDO,1
DAMIRES SOUZA,DANIELA PITTA,1
DAMIRES SOUZA,MARIA DA CONCEIÇÃO M. BATISTA,1
DAMIRES SOUZA,ROSALIE B. BELIAN,1
DANIEL BAUSCH,ILIA PETROV,1
DANIEL BAUSCH,ROBERT GOTTSTEIN,1
DANIEL BAUSCH,TODOR IVANOV,1
DANIEL DA SILVA JUNIOR,DANIEL DE OLIVEIRA,1
DANIEL DA SILVA JUNIOR,PAULO ROBERTO DOS SANTOS CORVAL,1
DANIEL DE OLIVEIRA,DANIEL L. JASBICK,1
DANIEL DE OLIVEIRA,FABIO PORTO,1
DANIEL DE OLIVEIRA,FELIPE BEVILAQUA,1
DANIEL DE OLIVEIRA,FERNANDA BAIÃO,1
DANIEL DE OLIVEIRA,FILIPE SILVA,1
DANIEL DE OLIVEIRA,GUSTAVO MULLER,1
DANIEL DE OLIVEIRA,ISABELA SIQUEIRA,1
DANIEL DE OLIVEIRA,JOSÉ CAMATA,1
DANIEL DE OLIVEIRA,JOSÉ MARIA MONTEIRO,1
DANIEL DE OLIVEIRA,JOÃO GONÇALVES,1
DANIEL DE OLIVEIRA,JOÃO LOUREIRO,1
DANIEL DE OLIVEIRA,JOÃO VICTOR DE OLIVEIRA NOVAES,1
DANIEL DE OLIVEIRA,JOÃO VITOR MORAES,1
DANIEL DE OLIVEIRA,LEONARDO RAMOS,1
DANIEL DE OLIVEIRA,LORENNA CHRIST'NA NASCIMENTO,1
DANIEL DE OLIVEIRA,LUIZ OLMES CARVALHO,1
DANIEL DE OLIVEIRA,MARIA LUIZA MACHADO CAMPOS,1
DANIEL DE OLIVEIRA,PATRICK VALDURIEZ,1
DANIEL DE OLIVEIRA,PAULO ROBERTO DOS SANTOS CORVAL,1
DANIEL DE OLIVEIRA,RODOLFO P. CHAGAS,1
DANIEL DE OLIVEIRA,SÉRGIO MANUEL  SERRA DA CRUZ,1
DANIEL DE OLIVEIRA,THAYLON GUEDES,1
DANIEL DE OLIVEIRA,VICTOR STRÖELE,1
DANIEL DE OLIVEIRA,VÍTOR SILVA,1
DANIEL DE OLIVEIRA,WAGNER SANTOS,1
DANIEL DE OLIVEIRA,WELLINGTON OLIVEIRA,1
DANIEL DE OLIVEIRA,YAN MENDES,1
DANIEL DE OLIVEIRA,YURI FROTA,1
DANIEL FIGUEIREDO,DANIELA PITTA,1
DANIEL FIGUEIREDO,MARCOS ANDRÉ GONÇALVES,1
DANIEL FIGUEIREDO,PÉTERSON SAMPAIO PROCÓPIO JÚNIOR,1
DANIEL FIGUEIREDO,THIAGO SALLES,1
DANIEL HASAN DALIP,MARCO A. CRISTO,1
DANIEL HASAN DALIP,MARCOS ANDRÉ GONÇALVES,1
DANIEL HASAN DALIP,PÁVEL CALADO,1
DANIEL HASAN DALIP,SINVAL DE DEUS VIEIRA JÚNIOR,1
DANIEL HASAN DALIP,THIAGO CARDOSO,1
DANIEL JEAN RODRIGUES VASCONCELOS,GUILHERME SALES FERNANDES,1
DANIEL JEAN RODRIGUES VASCONCELOS,JOSÉ ANTÔNIO FERNANDES DE MACEDO,1
DANIEL JEAN RODRIGUES VASCONCELOS,LÍVIA ALMADA CRUZ,1
DANIEL JEAN RODRIGUES VASCONCELOS,MATHEUS XAVIER SAMPAIO,1
DANIEL JEAN RODRIGUES VASCONCELOS,REGIS PIRES MAGALHÃES,1
DANIEL JEAN RODRIGUES VASCONCELOS,TICIANA LINHARES COELHO DA SILVA,1
DANIEL L. JASBICK,LÚCIO F. D. SANTOS,1
DANIEL L. JASBICK,MARCOS VINICIUS NAVES BEDO,1
DANIEL L. JASBICK,MARTA MATTOSO,1
DANIEL LUCANI,ISABELLA MIKA TANINAKA,1
DANIEL LUCANI,KEIKO FONSECA,1
DANIEL LUCANI,LUIZ GOMES-JR,1
DANIEL LUCANI,MARCELO ROSA,1
DANIEL N. R. DA SILVA,FABIO PORTO,1
DANIEL N. R. DA SILVA,HERMANO L. S. LUSTOSA,1
DANIEL N. R. DA SILVA,PATRICK VALDURIEZ,1
DANIEL S. GUIMARÃES,EDWARD HERMANN HAEUSLER,1
DANIEL S. GUIMARÃES,JEFFERSON B. SANTOS,1
DANIEL S. GUIMARÃES,MARCOS V. VILLAS,1
DANIEL S. GUIMARÃES,MARIANA D. A. SALGUEIRO,1
DANIEL S. GUIMARÃES,SÉRGIO LIFSCHITZ,1
DANIEL S. GUIMARÃES,VERONICA DOS SANTOS,1
DANIEL S. KASTER,GABRIEL SPADON,1
DANIEL S. KASTER,JOSE F. RODRIGUES-JR,1
DANIEL S. KASTER,LEANDRO C. SOARES,1
DANIEL S. KASTER,LUCAS C. SCABORA,1
DANIEL S. KASTER,MARCOS R. VIEIRA,1
DANIEL S. KASTER,PAULO H. OLIVEIRA,1
DANIEL S. KASTER,PEDRO H. BUGATTI,1
DANIEL S. KASTER,PEDRO SENA TANAKA,1
DANIEL S. KASTER,RENATO BUENO,1
DANIEL S. KASTER,WILLIAN DENER DE OLIVEIRA,1
DANIEL SCHWABE,EDWARD HERMANN HAEUSLER,1
DANIEL SCHWABE,RAFAEL PEREIRA DE OLIVEIRA,1
DANIEL SCHWABE,RAPHAEL MARINS,1
DANIEL SCHWABE,SÉRGIO LIFSCHITZ,1
DANIEL YOSHINOBU TAKADA CHINO,FELIPE ALVES DA LOUZA,1
DANIELA VIANNA,ELISEU GUIMARÃES,1
DANIELLE ALBUQUERQUE,DIEGO BRANDÃO,1
DANIELLE ALBUQUERQUE,LUÍS TARRATACA,1
DANIELLE ALBUQUERQUE,RAFAELLI COUTINHO,1
DANILO A. N. S. SILVA,FELIPE L. S. FERREIRA,1
DANILO A. N. S. SILVA,FERNANDO T. PAULINO,1
DANILO A. N. S. SILVA,GUIDO L. DE S. FILHO,1
DANILO A. N. S. SILVA,LEONARDO A. DOMINGUES,1
DANILO A. N. S. SILVA,TIAGO M. U. DE ARAÚJO,1
DANILO B. SEUFITELLI,GABRIEL P. OLIVEIRA,1
DANILO B. SEUFITELLI,GABRIEL R. G. BARBOSA,1
DANILO B. SEUFITELLI,JULIANA E. BOTELHO,1
DANILO B. SEUFITELLI,MARIANA O. SILVA,1
DANILO B. SEUFITELLI,MICHELE A. BRANDÃO,1
DANNY SUAREZ VARGAS,VIVIANE PEREIRA MOREIRA,1
DARLAN  TELES DA SILVA,IEDA  DEL'ARCO SANCHES,1
DARLAN  TELES DA SILVA,KLEBER  TRABAQUINI,1
DARLAN  TELES DA SILVA,MICHEL  EUSTÁQUIO DANTAS CHAVES,1
